trade_id,timestamp,underlying,expiry,strike,option_type,side,quantity,price,reason
213,2022-11-01 11:57:53,BANKNIFTY,2022-11-03,41700,CE,SELL,1,246.65,ATM_SHIFT_41700->41800
214,2022-11-01 11:57:53,BANKNIFTY,2022-11-03,41700,PE,SELL,1,334.65,ATM_SHIFT_41700->41800
215,2022-11-01 11:57:53,BANKNIFTY,2022-11-03,41800,CE,BUY,1,201.45,ATM_ENTER_41800
216,2022-11-01 11:57:53,BANKNIFTY,2022-11-03,41800,PE,BUY,1,390.00,ATM_ENTER_41800
217,2022-11-01 11:57:55,BANKNIFTY,2022-11-03,41800,CE,SELL,1,200.35,ATM_SHIFT_41800->41700
218,2022-11-01 11:57:55,BANKNIFTY,2022-11-03,41800,PE,SELL,1,390.00,ATM_SHIFT_41800->41700
219,2022-11-01 11:57:55,BANKNIFTY,2022-11-03,41700,CE,BUY,1,245.60,ATM_ENTER_41700
220,2022-11-01 11:57:55,BANKNIFTY,2022-11-03,41700,PE,BUY,1,335.10,ATM_ENTER_41700
221,2022-11-01 11:57:57,BANKNIFTY,2022-11-03,41700,CE,SELL,1,245.75,ATM_SHIFT_41700->41800
222,2022-11-01 11:57:57,BANKNIFTY,2022-11-03,41700,PE,SELL,1,334.95,ATM_SHIFT_41700->41800
223,2022-11-01 11:57:57,BANKNIFTY,2022-11-03,41800,CE,BUY,1,200.65,ATM_ENTER_41800
224,2022-11-01 11:57:57,BANKNIFTY,2022-11-03,41800,PE,BUY,1,389.85,ATM_ENTER_41800
225,2022-11-01 11:58:02,BANKNIFTY,2022-11-03,41800,CE,SELL,1,200.40,ATM_SHIFT_41800->41700
226,2022-11-01 11:58:02,BANKNIFTY,2022-11-03,41800,PE,SELL,1,391.70,ATM_SHIFT_41800->41700
227,2022-11-01 11:58:02,BANKNIFTY,2022-11-03,41700,CE,BUY,1,244.95,ATM_ENTER_41700
